investigation_type,accident_number,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,far_description,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,Year,total_passengers,fatal_serious_injuries,fatal_serious_fraction,make_model
Accident,WPR14CA083,2013-12-31,"Salinas, CA",United States,Non-Fatal,Substantial,Airplane,Cessna,195A,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2013,2.0,0.0,0.0,Cessna 195A
Accident,CEN14WA208,2013-12-31,"Honiley, Warwickshire, United Kingdom",United Kingdom,Non-Fatal,Substantial,Airplane,Cessna,525A,No,,,NUSN,,0.0,0.0,0.0,1.0,,2013,1.0,0.0,0.0,Cessna 525A
Accident,ERA14LA083,2014-01-01,"Alabaster, AL",United States,Non-Fatal,Substantial,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,091,Personal,0.0,1.0,0.0,0.0,VMC,2014,1.0,1.0,1.0,Bellanca 17-30A
Accident,ERA14LA084,2014-01-01,"Fryeburg, ME",United States,Fatal,,Airplane,Beechcraft,A36,No,,Unknown,091,Personal,1.0,0.0,0.0,0.0,VMC,2014,1.0,1.0,1.0,Beechcraft A36
Accident,CEN14LA107,2014-01-03,"Silver City, NM",United States,Non-Fatal,Substantial,Airplane,Piper,PA 24-250,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2014,1.0,0.0,0.0,Piper PA 24-250
Accident,WPR14CA086,2014-01-04,"Shaw Island, WA",United States,Non-Fatal,Substantial,Airplane,Dehavilland,BEAVER DHC 2 MK.1,No,1.0,Reciprocating,091,Personal,0.0,1.0,0.0,0.0,VMC,2014,1.0,1.0,1.0,Dehavilland BEAVER DHC 2 MK.1
Accident,ERA14LA085,2014-01-04,"Bronx, NY",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,3.0,VMC,2014,3.0,0.0,0.0,Piper PA-28-180
Accident,ERA14LA086,2014-01-04,"Buckhannon, WV",United States,Non-Fatal,Substantial,Airplane,Cirrus,SR22,No,1.0,Reciprocating,091,Personal,0.0,1.0,0.0,0.0,VMC,2014,1.0,1.0,1.0,Cirrus SR22
Accident,ANC14CA014,2014-01-04,"Nome, AK",United States,Non-Fatal,Substantial,Airplane,Cessna,170 - B,No,1.0,Reciprocating,091,Flight Test,0.0,1.0,0.0,1.0,VMC,2014,2.0,1.0,0.5,Cessna 170 - B
Accident,DCA14CA034,2014-01-04,"Las Vegas, NV",United States,Non-Fatal,Substantial,Airplane,Boeing,737,No,2.0,Turbo Fan,121,,0.0,0.0,0.0,180.0,VMC,2014,180.0,0.0,0.0,Boeing 737
Accident,WPR14CA090,2014-01-04,"Marana, AZ",United States,Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,2014,1.0,0.0,0.0,Cessna 140
Accident,CEN14LA112,2014-01-04,"Forsyth, MO",United States,Non-Fatal,Substantial,Airplane,Piper,PA-22-108,No,1.0,Reciprocating,091,Personal,0.0,0.0,0.0,2.0,VMC,2014,2.0,0.0,0.0,Piper PA-22-108
Accident,DCA14WA030,2014-01-05,"Madinah, Saudi Arabia",Saudi Arabia,Non-Fatal,Minor,Airplane,Boeing,767-3W0ER,No,,,,,0.0,0.0,3.0,0.0,,2014,3.0,0.0,0.0,Boeing 767-3W0ER
